#,单词,音标,解释,笔记
25,"manipulate","英:/mə'nɪpjʊleɪt/ 美:/mə'nɪpjulet/","vt. 熟练控制[操作]

时 态:  
manipulated, manipulating, manipulates 

形容词:  
manipulative

名 词:  
manipulator

形容词:  
manipulatory",
26,"mortgage","英:/'mɔːgɪdʒ/ 美:/'mɔrɡɪdʒ/","- n. 抵押借款
- 抵押债款的利息
- vt. 抵押

时 态:  
mortgaged, mortgaging, mortgages",
27,"odd","英:/ɒd/ 美:/ɑd/","- adj. 奇怪的；古怪的
- 单的
- 奇数的
- 临时的
- 余下的；零头的

比较级:  
odder，oddest 

副 词:  
oddly

名 词:  
oddness",
28,"present","英:/'prez(ə)nt/ 美:/'prɛznt/","- vt. 呈现；介绍；提出；赠送
- vi. 举枪瞄准
- adj. 出席的；现在的
- n. 现在；礼物；瞄准


时 态:  
presented, presenting, presents 

名 词:  
presenter",
29,"principle","英:/'prɪnsɪp(ə)l/ 美:/'prɪnsəpl/","- n. 原则, 原理
- 准则, 规范
- 操守, 道义
- 工作原理",
30,"prisoner","英:/'prɪz(ə)nə/ 美:/'prɪznɚ/","- n. 囚徒
- 俘虏
- 被夺去自由的人[动物]等",
31,"producer","英:/prə'djuːsə/ 美:/prə'dʊsɚ/","n. 生产者；制作人，制片人；发生器",
32,"proposal","英:/prə'pəʊz(ə)l/ 美:/prə'pozl/","n. 提议，建议；求婚",
33,"religious","英:/rɪ'lɪdʒəs/ 美:/rɪ'lɪdʒəs/","- adj. 宗教的
- 笃信宗教的, 虔诚的
- 谨慎的, 认真的

副 词:  
religiously

名 词:  
religiousness",
34,"Soldier","英:/'səʊldʒə/ 美:/'soldʒɚ/","- n. 军人；兵蚁；懒汉；[口]一片烤面包
- vi. [口]磨洋工；当兵；坚持干；假称害病


时 态:  
soldiered, soldiering, soldiers",
35,"specific","英:/spə'sɪfɪk/ 美:/spə'sɪfɪk/","- adj. 特殊的，特定的；明确的；详细的；具有特效的
- n. 特效药；细节；特性


副 词:  
specifically

名 词:  
specificity",
36,"Stock","英:/stɒk/ 美:/stɑk/","- n. 储备品，供应物
- (商店的)现货，存货
- 公债；股份；股票
- 原汤，汤料
- 家系，家世，血统
- vt. 储备，保持…的供应
- adj. 通常备有现货的；常备的
- 常用的；陈腐的

时 态:  
stocked，stocking，stocks 

名 词:  
stockage

名 词:  
stocker",
37,"survey","英:/sə'veɪ/ 美:/'sɝve/","- n. 调查；测量；纵览；审视
- vt. 调查；勘测；俯瞰
- vi. 测量土地


时 态:  
surveyed, surveying, surveys 

名 词:  
surveyor",
38,"tend","英:/tend/ 美:/tɛnd/","- vt. 照料，照顾，伺候
- vi. 往，朝向
- 易于；倾向

时 态:  
tended，tending，tends",
39,"territory","英:/'terɪt(ə)rɪ/ 美:/'tɛrətɔri/","- n. 领土, 版图
- 管区, 营业地区
- 地盘, 领域, 范围",
40,"theory","英:/'θɪərɪ/ 美:/'θiəri/","n. 理论；原理；学说；推测",
41,"threaten","英:/'θret(ə)n/ 美:/'θrɛtn/","- vt. 威胁；恐吓；预示
- vi. 威胁；可能来临


时 态:  
threatened, threatening, threatens 

副 词:  
threateningly",
42,"abandon","英:/ə'bænd(ə)n/ 美:/ə'bændən/","- n. 狂热，放任
- vt. 遗弃，放弃


时 态:  
abandoned, abandoning, abandons 

名 词:  
abandonment",
43,"accommodation","英:/əˌkɒməˈdeɪʃn/ 美:/əˌkɑːməˈdeɪʃn/","n. 住处(尤指仅供短期使用的)",
44,"accumulate","英:/ə'kjuːmjʊleɪt/ 美:/ə'kjumjəlet/","vt. & vi. 堆积；积累

时 态:  
accumulated，accumulating，accumulates",
45,"accurate","英:/'ækjʊrət/ 美:/'ækjərət/","- adj. 精确的, 准确的
- 正确无误的

副 词:  
accurately

名 词:  
accurateness",
46,"acidic","英:/ə'sɪdɪk/ 美:/ə'sɪdɪk/","- adj. (味)酸的
- 尖刻的，尖酸的，刻薄的
- 酸的，酸性的
- 含有大量硅酸的，含有过量酸性物质的
- 迷幻狂舞的",
47,"aeroplane","英:/'eərəpleɪn/ 美:/'ɛrə'plen/","n. 飞机",
48,"ambassador","英:/æm'bæsədə/ 美:/æm'bæsədɚ/","n. 大使, 使节

形容词:  
ambassadorial

名 词:  
ambassadorship",
49,"ampersand","英:/'æmpəsænd/ 美:/ˈæmpɚˌsænd/","n. &的记号名称",
50,"analogous","英:/ə'næləgəs/ 美:/ə'næləɡəs/","- adj. 相似的,可比拟的
- 同功的

副 词:  
analogously",
51,"appointment","英:/ə'pɒɪntm(ə)nt/ 美:/ə'pɔɪntmənt/","- n. 约会, 约定
- 任命, 委派",
52,"approach","英:/ə'prəʊtʃ/ 美:/ə'protʃ/","- vt. & vi. 接近，走近，靠近
- vt. 接洽，交涉；着手处理
- n. 靠近，接近，临近
- 通路，入口，途径
- 方式，方法

时 态:  
approached，approaching，approaches",
53,"appropriate","英:/ə'prəʊprɪət/ 美:/ə'proprɪət/","- adj. 适当的，恰当的
- vt. 挪用；占用；盗用
- 拨出(款项)

时 态:  
appropriated，appropriating，appropriates  

副 词:  
appropriately

形容词:  
appropriative

名 词:  
appropriator",
54,"assembly","英:/ə'semblɪ/ 美:/ə'sɛmbli/","n. 装配；集会，集合",
55,"assessment","英:/ə'sesmənt/ 美:/ə'sɛsmənt/","- n. (为征税对财产所作的)估价
- 评估,评定
- 评价,看法
- 核定的付款额",
56,"assistant","英:/ə'sɪst(ə)nt/ 美:/ə'sɪstənt/","n. 助手，副手，助理；助教",
57,"association","英:/əsəʊsɪ'eɪʃ(ə)n/ 美:/ə,soʃɪ'eʃən/","- n. 协会, 社团
- 联合, 结合, 交往

形容词:  
associational",
58,"asynchronous","/ei'siŋkrənəs/","adj. 异步的",
59,"auction","英:/'ɔːkʃ(ə)n/ 美:/'ɔkʃən/","- vt. 拍卖；竞卖
- n. 拍卖


时 态:  
auctioned, auctioning, auctions",
60,"auxiliary","英:/ɔːg'zɪlɪərɪ/ 美:/ɔɡ'zɪlɪəri/","adj. 辅助的，补充的；备用的",
61,"basin","英:/'beɪs(ə)n/ 美:/'besn/","n. 盆地；盆；水池；流域


形容词:  
basinal",
62,"Bay Leaves","","",
63,"beak","英:/biːk/ 美:/bik/","n. 鸟嘴；鹰钩鼻子；地方执法官；男教师


形容词:  
beaked",
64,"blossom","英:/'blɒs(ə)m/ 美:/'blɑsəm/","- vi. 开花；兴旺；发展成
- n. 花；开花期；兴旺期；花开的状态


时 态:  
blossomed, blossoming, blossoms 

形容词:  
blossomy",
65,"calcium","英:/'kælsɪəm/ 美:/'kælsɪəm/","n. 钙",
66,"capacity","英:/kə'pæsɪtɪ/ 美:/kə'pæsəti/","n. 能力；容量；生产力；资格，地位",
67,"capita","英:/'kæpitə/ 美:/ˈkepətə/","n. 头数（尤指牲口）",
68,"capsicum","英:/'kæpsɪkəm/ 美:/'kæpsɪkəm/","- n. 辣椒属植物
- 柿子椒, 灯笼椒",
69,"carbohydrate","英:/kɑːbə'haɪdreɪt/ 美:/ˌkɑrbo'haɪdret/","- n. 碳水化合物; 糖类
- 淀粉质或糖类食物",
70,"carbon","英:/'kɑːb(ə)n/ 美:/'kɑrbən/","n. 〈化〉碳

形容词:  
carbonous",
71,"cast","英:/kɑːst/ 美:/kæst/","- vt. & vi. 投，掷，扔
- 浇铸
- vt. 投射，加…于
- 分配(演戏剧等的)角色
- n. 投，掷，抛，扔
- 铸造物；塑件
- 石膏
- 演员表，全体演员
- n. 原主人不再要的衣服/casting vote决定票
CASTabbr. Center for the Applications of Sciences and Technology (Wayne大学)科学技术应用中心
CASTabbr. Center for the Applications of Sciences and Technology 〈美〉(Wayne大学)科学技术应用中心

时 态:  
cast，casting，casts",
72,"category","英:/'kætɪg(ə)rɪ/ 美:/'kætəɡɔri/","n. 种类, 类别",
73,"Catholic","英:/'kæθ(ə)lɪk/ 美:/'kæθlɪk/","- adj. 天主教的；宽宏大量的
- n. 天主教徒；罗马天主教

catholic
- adj. 普遍的;广泛的;包容一切的
- 宽容的

副 词:  
catholically",
74,"celery","英:/'selərɪ/ 美:/'sɛləri/","n. 芹菜",
75,"cement","英:/sɪ'ment/ 美:/sə'mɛnt/","- n. 水泥
- 接合剂, 黏合物
- vt. 在…上抹水泥
- 粘牢
- 巩固, 加强

时 态:  
cemented, cementing, cements 

名 词:  
cementer",
76,"charity","英:/'tʃærɪtɪ/ 美:/'tʃærəti/","n. 施舍；慈善；慈善团体；施舍物；宽容",
77,"chin","英:/tʃɪn/ 美:/tʃɪn/","n. (尤指人的)颏, 下巴

时 态:  
chinned, chinning, chins 

形容词:  
chinless",
78,"chop","英:/tʃɒp/ 美:/tʃɑp/","- n. 砍；排骨；商标；[网]削球
- vt. 剁碎；砍
- (俚)丑人


时 态:  
chopped, chopping, chops",
79,"circumference","英:/sə'kʌmf(ə)r(ə)ns/ 美:/sɚ'kʌmfərəns/","n. 周围;圆周

形容词:  
circumferential",
80,"citizen","英:/'sɪtɪz(ə)n/ 美:/'sɪtɪzn/","n. 公民；市民；老百姓",
81,"clay","英:/klei/ 美:/kle/","- n. 泥土；粘土；肉体；似黏土的东西
- vt. 用黏土处理

Clay克莱（男子名， Clayton 的昵称）

形容词:  
clayey",
82,"climate","英:/'klaɪmət/ 美:/'klaɪmət/","n. 气候",
83,"clinic","英:/'klɪnɪk/ 美:/'klɪnɪk/","n. 诊所",
84,"cloud","英:/klaʊd/ 美:/klaʊd/","- n. 云；云状物；一大群；阴云；黑斑
- vt. 以云遮敝；使混乱；使忧郁；玷污
- vi. 阴沉；乌云密布


时 态:  
clouded, clouding, clouds 

形容词:  
cloudless",
85,"collaboration","/kə,læbə'reʃən/","- n. 合作, 协作
- 通敌",
86,"column","英:/'kɒləm/ 美:/'kɑləm/","n. 圆柱，柱形物；纵队，列；专栏


形容词:  
columned",
87,"concern","英:/kən'sɜːn/ 美:/kən'sɝn/","- vt. 涉及，关系到；使担心
- n. 关心；关系；关心的事


时 态:  
concerned, concerning, concerns",
88,"consent","英:/kən'sent/ 美:/kən'sɛnt/","- n. 准许，同意，赞成
- vi. 同意；赞成

时 态:  
consented，consenting，consents 

名 词:  
consenter",
89,"consider","英:/kən'sɪdə/ 美:/kən'sɪdɚ/","- vt. & vi. 考虑
- vt. 把…看作, 认为
- 关心, 体谅, 顾及

时 态:  
considered, considering, considers",
90,"consultant","英:/kən'sʌlt(ə)nt/ 美:/kən'sʌltənt/","- n. 顾问
- 高级顾问医生, 会诊医生",
91,"Continent","英:/'kɒntɪnənt/ 美:/'kɑntɪnənt/","- n. 洲, 大陆
- adj. 自制的, 克制的

副 词:  
continently",
92,"contract","英:/'kɒntrækt/ 美:/'kɑntrækt/","- vi. 感染；订约；收缩
- vt. 感染；订约；使缩短
- n. 合同；婚约


时 态:  
contracted, contracting, contracts  

形容词:  
contractible",
93,"contrast","英:/'kɒntrɑːst;kənˈtrɑːst/ 美:/kənˈtræst;ˈkɑnˌtræst/","- n. 对比, 对照
- 差异, 差别
- 对照物, 明显的对比物
- vt. & vi. 对比, 对照

时 态:  
contrasted, contrasting, contrasts",
94,"conviction","英:/kən'vɪkʃ(ə)n/ 美:/kən'vɪkʃən/","- n. 确信, 坚定的信仰
- 定罪, 判罪",
95,"corresponding","英:/ˌkɒrɪ'spɒndɪŋ/ 美:/ˌkɔrə'spɑndɪŋ/","- adj. 相当的, 对应的
- 符合的, 一致的

副 词:  
correspondingly",
96,"corruption","英:/kə'rʌpʃ(ə)n/ 美:/kə'rʌpʃən/","- n. 堕落;腐化;腐败;贿赂
- 腐烂",
97,"cough","英:/kɔf/ 美:/kɔf/","- n. 咳嗽，咳嗽声；咳嗽病
- vt. 咳出
- vi. 咳嗽


时 态:  
coughed, coughing, coughs",
98,"cranberry","英:/'krænb(ə)rɪ/ 美:/'kræn'bɛri/","n. 〈植〉越橘",
99,"cricket","英:/'krɪkɪt/ 美:/'krɪkɪt/","n. 蟋蟀；板球，板球运动


时 态:  
cricketed, cricketing, crickets",
100,"criticism","英:/'krɪtɪsɪz(ə)m/ 美:/'krɪtə'sɪzəm/","- n. 批评, 批判, 指责
- 评论, 评论文章",
101,"cunning","英:/'kʌnɪŋ/ 美:/'kʌnɪŋ/","- adj. 狡猾的；可爱的；巧妙的
- n. 狡猾


副 词:  
cunningly",
102,"curious","英:/'kjʊərɪəs/ 美:/'kjʊrɪəs/","- adj. 好奇的, 好求知的
- 奇妙的, 稀奇的

副 词:  
curiously

名 词:  
curiousness",
103,"currency","英:/'kʌr(ə)nsɪ/ 美:/'kɝənsi/","n. 货币；通货",
104,"curtain","英:/'kɜːt(ə)n/ 美:/'kɝtn/","- n. 窗帘；幕
- vt. 遮蔽；装上门帘


时 态:  
curtained, curtaining, curtains",
105,"dandelion","英:/'dændɪlaɪən/ 美:/'dændɪlaɪən/","n. 蒲公英",
106,"deduct","英:/dɪ'dʌkt/ 美:/dɪ'dʌkt/","vt. 扣除，减去；演绎


时 态:  
deducted, deducting, deducts",
107,"delegate","英:/'delɪgət/ 美:/'dɛlɪɡət/","- n. 代表, 代表团成员
- vt. 任命或委派…为代表
- 托付

时 态:  
delegated, delegating, delegates",
108,"demonstrate","英:/'demənstreɪt/ 美:/'dɛmən'stret/","- vi. 举行示威游行(或集会)
- vt. 说明, 演示
- 论证, 证明
- 显示, 表露

时 态:  
demonstrated, demonstrating, demonstrates",
109,"desperate","英:/'desp(ə)rət/ 美:/'dɛspərət/","- adj. 不顾一切的, 拼命的
- 铤而走险的, 孤注一掷的
- 极渴望的, 极需要的
- 危急的, 极严重的；令人绝望的

副 词:  
desperately

名 词:  
desperateness",
110,"diameter","英:/daɪ'æmɪtə/ 美:/daɪ'æmɪtɚ/","- n. 直径
- 放大率

形容词:  
diametral",
111,"discipline","英:/'dɪsɪplɪn/ 美:/'dɪsəplɪn/","- vt. 训练, 训导
- 处罚, 惩罚
- n. 训练, 锻炼, 训导
- 纪律
- 处罚, 处分
- 学科

时 态:  
disciplined, disciplining, disciplines 

形容词:  
disciplinal",
112,"discriminate","英:/dɪ'skrɪmɪneɪt/ 美:/dɪ'skrɪmɪnet/","- vt. & vi. 分别, 辨别, 区分
- vi. 歧视, 有差别地对待

时 态:  
discriminated, discriminating, discriminates 

形容词:  
discriminate",
113,"dispatcher","英:/dɪs'pætʃə/ 美:/dɪsˈpætʃɚ/","n. 发报机",
114,"domestic","英:/də'mestɪk/ 美:/də'mɛstɪk/","adj. 国内的；家庭的；驯养的；一心只管家务的
n. 国货；佣人

副 词:  
domestically",
115,"draft","英:/drɑːft/ 美:/dræft/","n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt.  起草；制定；征募
 vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的

时 态:  
drafted, drafting, drafts",
116,"Drip","英:/drɪp/ 美:/drɪp/","- vt. & vi. (使)滴下
- vi. 滴出, 漏下

时 态:  
dripped, dripping, drips",
117,"elaborate","英:/ɪ'læb(ə)rət/ 美:/ɪ'læbəret/","- vi. 详尽说明
- vt. 详细制定
- adj. 复杂的；精心制作的

时 态:  
elaborated，elaborating，elaborates  

副 词:  
elaborately

名 词:  
elaboration

名 词:  
elaborator",
118,"embassy","英:/'embəsɪ/ 美:/'ɛmbəsi/","n. 大使馆；大使馆全体人员",
119,"emerald","英:/'em(ə)r(ə)ld/ 美:/'ɛmərəld/","- n. 绿宝石，翡翠；祖母绿；翠绿色
- adj. 翠绿色的；翡翠的",
120,"emotion","英:/ɪ'məʊʃ(ə)n/ 美:/ɪ'moʃən/","n. 情感；情绪",
121,"emphasize","英:/ˈemfəsaiz/ 美:/'ɛmfəsaɪz/","vt. 强调；加强语气；重读

时 态:  
emphasized，emphasizing，emphasizes",
122,"entertaining","英:/entə'teɪnɪŋ/ 美:/ˌɛntɚ'tenɪŋ/","adj. 有趣的;娱乐的;使人愉快的",
123,"enthusiasm","英:/ɪn'θjuːzɪæz(ə)m/ 美:/ɪn'θuzɪæzəm/","- n. 热情, 热心
- 巨大兴趣, 热衷的事物",
124,"entitle","英:/ɪn'taɪt(ə)l/ 美:/ɪn'taɪtl/","vt. 称做…；定名为…；给…称号；使…有权利


时 态:  
entitled, entitling, entitles 

名 词:  
entitlement",
125,"envy","英:/'envɪ/ 美:/'ɛnvi/","- n. 羡慕；嫉妒，妒忌
- vt. 羡慕；嫉妒，妒忌
- vi. 感到妒忌；显示出妒忌


名 词:  
envier",
126,"episode","英:/'epɪsəʊd/ 美:/'ɛpɪsod/","n. 插曲；插话；一段情节；有趣的事件",
127,"equivalent","英:/ɪ'kwɪv(ə)l(ə)nt/ 美:/ɪ'kwɪvələnt/","adj. 相等的, 相当的",
128,"ethnic","英:/'eθnɪk/ 美:/'ɛθnɪk/","adj. 种族的；人种的",
129,"evaluate","英:/ɪ'væljʊeɪt/ 美:/ɪ'væljʊ'et/","vt. 评价, 估计, 估价

时 态:  
evaluated, evaluating, evaluates 

名 词:  
evaluation

形容词:  
evaluative

名 词:  
evaluator",
130,"even","英:/'iːv(ə)n/ 美:/'ivən/","- adv. 甚至，即使
- 更加，愈加
- adj. 平的，平坦的
- 均匀的；有规律的；稳定的
- 相等的，均衡的
- 双数的，偶数的
- vt. & vi. (使)平；(使)相等

时 态:  
evened，evening，evens 

名 词:  
evener

副 词:  
evenly

名 词:  
evenness",
131,"exclamation","英:/ˌeksklə'meɪʃ(ə)n/ 美:/ˌɛksklə'meʃən/","n. 呼喊, 惊叫",
132,"execution","英:/ˌeksɪ'kjuːʃ(ə)n/ 美:/ˌɛksɪ'kjuʃən/","- n. 依法处决
- 实行, 执行
- 演奏, 技巧",
133,"exhibition","英:/eksɪ'bɪʃ(ə)n/ 美:/ˌɛksɪ'bɪʃən/","- n. 展览, 展览会
- 表现, 显示
- 公开示范表演",
134,"expand","英:/ɪk'spænd/ 美:/ɪk'spænd/","- vt. 扩张；使膨胀；详述
- vi. 张开，展开；发展


时 态:  
expanded, expanding, expands 

形容词:  
expandable

名 词:  
expander",
135,"expenditure","英:/ɪk'spendɪtʃə/ 美:/ɪk'spɛndɪtʃɚ/","- n. 花费, 使用
- (尤指金钱的)支出额",
136,"exploit","英:/ɪk'splɒɪt/ 美:/ɪkˈsplɔɪt/","- vt. 开发，开拓；剥削；开采
- n. 勋绩；功绩


时 态:  
exploited, exploiting, exploits  

名 词:  
exploitability

形容词:  
exploitable

名 词:  
exploiter",
137,"fabric","英:/'fæbrɪk/ 美:/'fæbrɪk/","- n. 织物, 布
- 构造, 组织",
138,"facility","英:/fəˈsɪləti/ 美:/fə'sɪləti/","n. 设备；灵巧；容易；设施",
139,"faith","英:/feɪθ/ 美:/feθ/","n. 信心；信任；相信；宗教信仰

Faith费思(女子名)",
140,"fantasy","英:/'fæntəsɪ/ 美:/'fæntəsi/","- n. 幻想；幻觉；[心]白日梦
- adj. 虚幻的
- vt. 想像；空想
- vi. 耽于幻想；奏幻想曲（等于phantasy）",
141,"fleet","英:/fliːt/ 美:/flit/","- adj. 快速的，敏捷的
- n. 舰队；小河；港湾
- vi. 疾驰；飞逝；掠过
- vt. 消磨


比较级:  
fleeter, fleetest 

副 词:  
fleetly

名 词:  
fleetness",
142,"gang","英:/gæŋ/ 美:/ɡæŋ/","- n. (罪犯有组织的)一帮，一伙
- (闹事青少年的)一群
- (工人有组织的)一队，一组
- vt. 使结成一帮
- vi. 结伙行动；合伙攻击

时 态:  
ganged，ganging，gangs",
143,"genuine","英:/'dʒenjʊɪn/ 美:/ˈdʒɛnjuɪn/","adj. 真实的，真正的；诚恳的


副 词:  
genuinely

名 词:  
genuineness",
144,"geography","英:/dʒɪ'ɒgrəfɪ/ 美:/dʒɪ'ɑɡrəfi/","- n. 地理(学)
- 地形, 地势

名 词:  
geographer",
145,"gesture","英:/'dʒestʃə/ 美:/'dʒɛstʃɚ/","- n. 手势, 姿势
- 姿态, 表示
- vt. & vi. 做手势

时 态:  
gestured, gesturing, gestures 

形容词:  
gestural",
146,"glimpse","英:/glɪm(p)s/ 美:/ɡlɪmps/","- n. 一瞥，一看
- vi. 瞥见
- vt. 瞥见


时 态:  
glimpsed, glimpsing, glimpses",
147,"guardian","英:/'gɑːdɪən/ 美:/'ɡɑrdɪən/","- n. 监护人，保护人；守护者
- adj. 守护的


名 词:  
guardianship",
148,"hall","英:/hɔːl/ 美:/hɔl/","- n. 门厅
- 礼堂，会堂；大厅
- 食堂；宿舍
- 走廊
- 办公大楼
Hall霍尔(①姓氏 ②Edwin H.，1855-1938，美国物理学家)",
149,"hemisphere","英:/'hemɪsfɪə/ 美:/'hɛmɪsfɪr/","- n. 半球
- 地球的半球

形容词:  
hemispheric",
150,"hierarchy","英:/'haɪərɑːkɪ/ 美:/'haɪərɑrki/","- n. 等级制度
- 统治集团, 领导层",
151,"hobby","英:/'hɒbɪ/ 美:/'hɑbi/","n. 嗜好；业余爱好


名 词:  
hobbyist",
152,"hummingbird","英:/'hʌmɪŋbɜːd/ 美:/'hʌmɪŋbɝd/","n. 蜂鸟",
153,"hyphen","英:/'haɪf(ə)n/ 美:/'haɪfn/","- vt. 以连字号连接
- n. 连字号


时 态:  
hyphened, hyphening, hyphens",
154,"iceberg","英:/'aɪsbɜːg/ 美:/'aɪs'bɝg/","n. 冰山；显露部分",
155,"illustrate","英:/'ɪləstreɪt/ 美:/ˈɪləstreɪt/","- vt. 给…加插图
- 说明，阐明；表明

时 态:  
illustrated，illustrating，illustrates 

名 词:  
illustrator",
156,"implement","英:/'ɪmplɪm(ə)nt/ 美:/'ɪmplɪmɛnt/","- vt. 使生效, 贯彻, 执行
- n. 工具, 器具, 用具

时 态:  
implemented, implementing, implements  

名 词:  
implementation

名 词:  
implementer",
157,"impose","英:/ɪm'pəʊz/ 美:/ɪm'poz/","- vi. 欺骗；利用；施加影响
- vt. 强加；以…欺骗；征税


时 态:  
imposed, imposing, imposes 

名 词:  
imposer",
158,"incredible","英:/ɪn'kredɪb(ə)l/ 美:/ɪn'krɛdəbl/","- adj. 不能相信的, 不可信的
- 〈非正〉难以置信的, 不可思议的, 惊人的

副 词:  
incredibly",
159,"indices","英:/'ɪndɪsiːz/ 美:/'ɪndɪsiz/","(index的复数)",
160,"ingredient","英:/ɪn'griːdɪənt/ 美:/ɪn'ɡridɪənt/","n. (混合物的)组成部分; 配料",
161,"initiative","英:/ɪˈnɪʃətɪv/ 美:/ɪˈnɪʃətɪv/","- n. 主动性, 首创精神
- 主动的行动, 倡议
- 主动权",
162,"innocent","英:/'ɪnəs(ə)nt/ 美:/'ɪnəsnt/","- adj. 无罪的；无辜的；无知的
- n. 天真的人；笨蛋


副 词:  
innocently",
163,"inspector","英:/ɪn'spektə/ 美:/ɪn'spɛktɚ/","- n. 检查员,督查
- 检阅官
- 警察巡官
- n. 检查员的地位

名 词:  
inspectorship",
164,"integral","英:/'ɪntɪgr(ə)l/ 美:/'ɪntɪɡrəl/","adj. 构成整体所必需的

名 词:  
integrality

副 词:  
integrally",
165,"integrity","英:/ɪn'tegrɪtɪ/ 美:/ɪn'tɛɡrəti/","- n. 正直；诚实，诚恳
- 完整，完全，完善",
166,"intense","英:/ɪn'tens/ 美:/ɪn'tɛns/","adj. 强烈的；紧张的；热情的；非常的


比较级:  
intenser, intensest 

副 词:  
intensely",
167,"interpretation","英:/ɪntɜːprɪ'teɪʃ(ə)n/ 美:/ɪn'tɝprɪ'teʃən/","- n. 解释，说明；诠释
- 表演；演奏",
