#,单词,音标,解释,笔记
10,"commercial","英:/kə'mɜːʃ(ə)l/ 美:/kə'mɝʃəl/","▪ I. commercial 1 UK  [kəˈmɜː(r)ʃ(ə)l] US  [kəˈmɜrʃ(ə)l] adjective ★★★
    1. usually before noun relating to business
        a commercial transaction
        This property is suitable for domestic or commercial use.
        Thesaurus: words used to describe businesses and companieshyponym 
      1a. only before noun producing goods or services to sell
        commercial whaling
        Thesaurus: words used to describe businesses and companieshyponym 
      1b. only before noun produced in order to be sold
        One of their first commercial products was an electronic typewriter.
        Thesaurus: words used to describe shops and their productshyponym 
    2. usually before noun relating to making a profit
        The film’s commercial success made her a star.
        The decision was made on a purely commercial basis.
        Thesaurus: relating to making profitsynonym 
      2a. paying more attention to making profits than to quality
        Their music has become so commercial.
        Thesaurus: relating to making profitsynonym 
    3. making money by broadcasting advertisements instead of being given money by the government
        commercial radio stations
        Thesaurus: relating to advertising and promotionsynonym advertising, marketing and prhyponym 
▪ II. commercial 2 UK  [kəˈmɜː(r)ʃ(ə)l] US  [kəˈmɜrʃ(ə)l] noun [countable] [singular commercial plural commercials] ★
    an advertisement on television or radio
        a TV commercial
        a shampoo/​dog food commercial
        Thesaurus: types of advertisementhyponym",
11,"cousin","英:/ˈkʌzən/ 美:/ˈkʌzən/","cousin UK  [ˈkʌz(ə)n] US  noun [countable] [singular cousin plural cousins] ★★
  1. a child of your uncle or aunt . This person can also be called your first cousin . A child of the cousin of one of your parents is called a second cousin
      Harry and I are cousins.
      The Duke of Kent is a cousin of the Queen.
      Thesaurus: uncles and aunts and cousinshyponym 
    1a. someone who is related to you through a brother, sister, uncle, or aunt of one of your parents
      She is a distant cousin (=not a close relation)
      of the famous author.
      Thesaurus: uncles and aunts and cousinshyponym 
  2. someone or something that is related to another person or thing
      Many politicians want to foster closer links with our European cousins.
      These pigs are close cousins of the wild hog.
      Thesaurus: relationships and membership of social groupssynonym friendship and feelings of friendshipsynonym",
12,"curriculum","英:/kʌ'rɪkjʊləm/ 美:/kə'rɪkjələm/","curriculum UK  [kəˈrɪkjʊləm] US  [kəˈrɪkjələm] noun [countable] [singular curriculum plural curricula [kəˈrɪkjʊlə] [kəˈrɪkjələ]] ★★
  the subjects that students study at a particular school or college
      Our mathematics curriculum is much broader now.
      curriculum planning/​development
      on the curriculum (=taught as a subject): Latin is no longer on the curriculum.
      Thesaurus: school subjectshyponym",
13,"despite","英:/dɪ'spaɪt/ 美:/dɪ'spaɪt/","despite UK  [dɪˈspaɪt] US  preposition ★★★ 
      
      Get it right: despite       
      Never use of  after despite  .
      ✗ Recycling is a good way to manage waste  despite of its cost  .
      ✓ Recycling is a good way to manage waste  despite its cost  .
      ✗ Many people are successful in their jobs  despite of the fact  that they have no university diploma.
      ✓ Many people are successful in their jobs  despite the fact  that they have no university diploma.
      You can also use the phrase in spite of  in the same way:
      Recycling is a good way to manage waste in spite of its cost  .
      Despite  and in spite of  mean exactly the same, but despite  is much more frequent. 
  used for saying that something happens even though something else might have prevented it
      Three more nuclear power stations were built despite widespread opposition.
      despite the fact that: He still loves her, despite the fact that she left him.
      Thesaurus: despite somethingsynonym 
      Phrase: despite yourself",
14,"determine","英:/dɪ'tɜːmɪn/ 美:/dɪ'tɝmɪn/","determine UK  [dɪˈtɜː(r)mɪn] US  [dɪˈtɜrmɪn] verb [present tense I/you/we/they determine he/she/it determines present participle determining past tense determined past participle determined] ★★
  1. [transitive] often passive to control what something will be
      Our prices are determined by the market.
      genetically/culturally/biologically/determined: She claims that most human behaviour is socially determined.
      Thesaurus: to limit or control something or someonesynonym 
  2. [intransitive/transitive] to officially decide something
      determine whether/why/who : It is for the court to determine whether she is guilty.
      Thesaurus: to make a decisionsynonym 
  3. [intransitive/transitive] to calculate something, or to discover it by examining evidence
      I am interested in determining the cost.
      determine why/whether/what : Technicians were examining the missile to determine why it didn’t fire.
      Thesaurus: to calculate or countsynonym to find out informationsynonym types of mathematicshyponym 
  4. [transitive] formal to decide that you really want to do something
      determine to do something: She determined to ignore his faults.
      Thesaurus: to make a decisionsynonym",
15,"district","英:/'dɪstrɪkt/ 美:/'dɪstrɪkt/","district UK  [ˈdɪstrɪkt] US  noun [countable] [singular district plural districts] ★★★
  1. an area of a town or country
      They live in one of the most exclusive districts of Paris.
      the new financial district
      Thesaurus: areas of countrieshyponym 
  2. one of the areas into which a town or country is divided for official purposes
      Schools in the district continue to perform badly.
      a district judge
      Thesaurus: areas of countrieshyponym",
16,"dramatic","英:/drə'mætɪk/ 美:/drə'mætɪk/","dramatic UK  [drəˈmætɪk] US  adjective ★★★
  1. sudden and surprising or easy to notice
      a dramatic increase in sales
      The change in him was dramatic.
      Thesaurus: making you feel surprised or amazedsynonym 
  2. exciting and impressive
      a dramatic game
      Thesaurus: making you feel excitedsynonym 
  3. dramatic behaviour is done to impress other people
      Don’t be so dramatic!
      She put a hand to her head with a dramatic gesture.
      Thesaurus: describing behaviour that is intended to impress otherssynonym 
  4. relating to the theatre or plays
      dramatic techniques
      Thesaurus: relating to theatre and actinghyponym 
      Derived Word: dramatically",
17,"essential","英:/ɪ'senʃ(ə)l/ 美:/ɪ'sɛnʃl/","▪ I. essential 1 UK  [ɪˈsenʃ(ə)l] US  adjective ★★★
    1. completely necessary
        In a large organization, good internal communication is essential.
        essential for: Light is absolutely essential for the healthy development of plants.
        essential to: He had acquired the skills essential to his later success in politics.
        it is essential (that): It is essential that all equipment is properly maintained.
        it is essential to do something: If you want to make major changes, it is essential to involve your staff.
        essential reading: Her articles are essential reading for anyone interested in the war.
        play an essential role/​part in something: She has always played an essential part in the smooth running of the business. 
        
        Collocations         
        Nouns frequently used with essential  1 
        ▪   characteristic, component, element, feature, ingredient, part, requirement
        Thesaurus: necessarysynonym 
    2. the essential features of something are its most basic and typical features
        the essential characteristics of Marxist political thought
        The essential difference between us is that I take life seriously.
        Thesaurus: natural, basic and essentialsynonym typical, traditional and usualsynonym 
      2a. most basic and necessary
        essential services such as shops and buses
        food, fuel, and other essential supplies
        Thesaurus: necessarysynonym 
      2b. used about the substances that your body needs in order to stay healthy
        essential vitamins/​minerals/​nutrients
        Thesaurus: good for you or for your healthsynonym 
        See also: fundamental
▪ II. essential 2 UK  [ɪˈsenʃ(ə)l] US  noun [singular essential plural essentials]
    1. [countable] usually plural something that is needed for life, or needed in a particular situation
        food, water, and other essentials
        She packed a few essentials and headed for the airport.
        the bare/​barest essentials: Millions of people lack even the bare essentials.
        Thesaurus: important thing or detailsynonym 
    2. essentials variant [plural] the most basic and important aspects of a subject
        essential of: He agreed to teach me the essentials of web page design.
        Thesaurus: important thing or detailsynonym",
18,"evidence","英:/'evɪd(ə)ns/ 美:/'ɛvɪdəns/","evidence UK  [ˈevɪd(ə)ns] US  [ˈevɪdəns] noun [uncountable] ★★★ 
      
      Get it right: evidence       
      Evidence  is an uncountable noun, and so:
      ▪  it is never used in the plural
      ▪  it never comes after an  or a number
      ✗ You need to balance  the evidences  from both sides.
      ✓ You need to balance  the evidence  from both sides.
      ✗ His response  is an evidence of  how insecure the government feels.
      ✓ His response  is evidence of  how insecure the government feels.
      ✗ This can be seen as  one more evidence  that women are in an inferior position.
      ✓ This can be seen as  further evidence  that women are in an inferior position. 
  1. facts or physical signs that help to prove something
      Evidence shows that global warming is definitely occurring.
      evidence of: Doctors found no evidence of infection.
      evidence that: There is some evidence that the economy is improving.
      evidence for/​in support of/​in favour of: evidence for the existence of life on other planets 
      
      Collocations       
      Adjectives frequently used with evidence  1 
      ▪   anecdotal, available, clear, compelling, conclusive, convincing, credible, documentary, empirical, hard, incontrovertible, irrefutable, overwhelming, scientific, strong, supporting
      Thesaurus: proof and evidencesynonym 
  2. facts, statements, or objects that help to prove whether or not someone has committed a crime
      The police didn’t have enough evidence to convict him.
      They destroyed the evidence by flushing it down the toilet.
      hard evidence (=definite evidence): They are reluctant to prosecute without any hard evidence.
      Thesaurus: crime detection and preventionhyponym 
    2a. things that witnesses say in a court of law when they answer questions
      In his evidence, he said that he had never met Mr Jones.
      give evidence: Kemp was never called to give evidence.
      Thesaurus: parts of trialsmeronym lawyers and people who work in law courtshyponym 
      
      Collocations       
      Adjectives frequently used with evidence  2 
      ▪   admissible, circumstantial, conclusive, incriminating, sufficient, supporting
      Verbs frequently used with evidence  2  as the object
      ▪   collect, destroy, gather, produce
      Phrase: in evidence",
19,"extra","英:/'ekstrə/ 美:/'ɛkstrə/","▪ I. extra 1 UK  [ˈekstrə] US  adjective ★★★
    in addition to the usual or expected amount
        There’s no extra money for emergencies.
        We need extra space for guests.
        As an extra precaution, I turned off the electricity.
        Thesaurus: also and additionalsynonym 
        Phrase: be extra
▪ II. extra 2 UK  [ˈekstrə] US  noun [countable] [singular extra plural extras] ★
    1. something that you can buy with something else for an additional payment
        The car comes with most extras that you’d expect, like twin air-bags.
        optional extra: A virus checker is available as an optional extra for your computer.
        Thesaurus: things for sale and things boughtsynonym general words for the activity of buying and sellinghyponym 
    2. cinema someone who has a very small part in a film, for example as a member of a crowd
        Thesaurus: roles for actorshyponym 
    3. a special edition of a newspaper that is published when something important happens
        Thesaurus: types of newspaper or magazinehyponym 
▪ III. extra 3 UK  [ˈekstrə] US  adverb ★
    1. more than a particular amount of money
        You have to pay extra for insurance.
        It costs extra if you travel before 10 am.
        Thesaurus: types of prices and describing prices and costshyponym prices and costssynonym 
    2. very used for emphasizing adjectives and adverbs
        Be extra careful when you go out alone at night.
        an extra special gift
        Thesaurus: very and very muchsynonym",
20,"factory","英:/ˈfæktri; ˈfæktəri 美:/ˈfæktri,ˈfæktəri/","factory UK  [ˈfæktri] US  [ˈfækt(ə)ri] noun [countable] [singular factory plural factories] ★★★
  a building or group of buildings where large quantities of goods are produced using machines
      She works in a factory.
      a car factory
      Thesaurus: factories and industrial buildingshyponym 
    a. only before noun relating to a factory or working in a factory
      factory workers/​bosses
      Thesaurus: describing or relating to factories and producing goodshyponym",
21,"finance","英:/faɪ'næns/ 美:/'faɪnæns/","▪ I. finance 1 UK  [ˈfaɪnæns] UK  [faɪˈnæns] US  [ˈfaɪˌnæns] US  [fɪˈnæns] noun ★★★
    1. [uncountable] decisions on how money is spent or invested
        He’s now studying international banking and finance.
        the company’s finance committee
        Thesaurus: relating to money and possessionssynonym types of tax and taxationhyponym 
    2. [uncountable] business money that is used to pay for something such as a large project
        The college has had to close due to lack of finance.
        finance for: It is not yet clear where finance for the project will come from.
        raise/​obtain finance: We are now trying to raise finance for more research projects.
        Thesaurus: economy and economicshyponym 
      2a. finances variant [plural] your finances are how much money you have and how well you spend it or save it
        Students need to be taught how to handle their finances.
        My finances are in a terrible mess at the moment.
        Thesaurus: general words for money, cash and coinshyponym 
▪ II. finance 2 UK  [ˈfaɪnæns] UK [faɪˈnæns] US  [ˈfaɪˌnæns] US  [fɪˈnæns] verb [transitive] [present tense I/you/we/they finance he/she/it finances present participle financing past tense financed past participle financed] ★★★
    to pay for something such as a large project
        The scheme is being financed by the Arts Council.
        Thesaurus: to spend or to pay moneysynonym",
22,"gain","英:/geɪn/ 美:/ɡen/","▪ I. gain 1 UK  [ɡeɪn] US  verb [present tense I/you/we/they gain he/she/it gains present participle gaining past tense gained past participle gained] ★★★
    1. [transitive] to get or achieve something, usually as a result of a lot of effort
        Extremist political parties gained 11% of the vote.
        Bolivia gained independence from Spain in 1825.
        She gained a first in her French degree.
        gain access/​admittance/​entry to something: He gained entry to the building by showing a fake pass.
        Thesaurus: to get something or someonesynonym 
      1a. [intransitive/transitive] to get more of something, usually as a result of a gradual process
        Her theories have only recently gained acceptance.
        gain something from/​by (doing) something: She hopes to gain experience by working abroad for a year.
        gain in: The property has gained steadily in value since they bought it.
        gain weight: I’ve gained a lot of weight this winter.
        gain speed/​momentum: The toboggan sped down the hill, gaining momentum.
        Thesaurus: to get something or someonesynonym 
        
        Collocations         
        Nouns frequently used as objects of gain  1 
        ▪   acceptance, confidence, experience, ideas, information, insight, popularity, recognition, understanding
    2. [intransitive/transitive] to get a benefit or advantage for yourself
        gain something from (doing) something: There is a lot to be gained from schools working together.
        there is nothing to be gained from/​by doing something: We should act immediately. There is nothing to be gained from waiting.
        gain from: Whether you succeed or fail, you are sure to gain from the experience.
        stand to gain (=be likely to get money or other benefits): When the business is sold, all the brothers stand to gain.
        Thesaurus: to have, or to take advantage of, an opportunitysynonym 
    3. [intransitive/transitive] if shares or the markets gain, the value of shares increases
        The Nikkei index gained 45 points.
        BA shares gained overnight.
        Thesaurus: stocks and shares and the stock exchangehyponym types of tax and taxationhyponym 
    4. [intransitive/transitive] if a clock gains, it operates too fast so that the time it shows is later than the actual time
        The clock on my computer gains a minute every day.
        Thesaurus: what clocks and watches dohyponym 
    5. [transitive] mainly literary to arrive at a place, especially one that is difficult to reach
        They finally gained the summit.
        Thesaurus: to arrive in a place, or to enter a placesynonym general words meaning to leave a placesynonym 
        Phrases: gain ground ▪ gain time
        Phrasal Verb: gain on
▪ II. gain 2 UK  [ɡeɪn] US  noun [singular gain plural gains] ★★
    1. [countable/uncountable] an improvement or increase in something
        The baby’s weight gain during the first six months was normal.
        The Green Party made big gains in the local elections.
        gain in: We have seen impressive gains in productivity over the last 12 months.
        Thesaurus: improvement and improvementssynonym 
    2. [countable] a benefit, or an advantage
        It is a policy that will bring significant gains to all sections of the community.
        Thesaurus: advantages and benefitssynonym 
    3. [uncountable] the money or other benefits that you can get from something
        for personal/​material/​financial gain: He seems to have entered politics solely for personal gain.
        Thesaurus: profitsynonym 
        See also: ill-gotten gains",
23,"influence","英:/'ɪnflʊəns/ 美:/'ɪnfluəns/","▪ I. influence 1 UK  [ˈɪnfluəns] US  noun [singular influence plural influences] ★★★ 
        
        Get it right: influence         
        The usual preposition that follows the noun influence  is on  . Don’t use the preposition to  :
        ✗ Television brings many benefits, but it can also have a bad  influence to  people.
        ✓ Television brings many benefits, but it can also have a bad  influence on  people.
        ✗ Cyber cafés have a positive  influence to  the economy.
        ✓ Cyber cafés have a positive  influence on  the economy.
        The preposition over can also be used with influence  , but it is much less frequent than on  :
        In reality, the government has limited influence over  what happens. 
    1. [countable/uncountable] the effect that a person or thing has on someone’s decisions, opinions, or behaviour or on the way something happens
        Without his famous father’s influence, he would never have got the job.
        exert/​exercise/​use influence: He couldn’t hope to exert any real influence in the new department.
        influence on/​over: Teachers have considerable influence over what is taught in the classroom.
        outside influence (=the influence of people who do not belong to your group): The decision-making process will be free from outside influence.
        Thesaurus: general words for results and outcomessynonym 
    2. [countable] a person or thing that has an effect on someone or something
        influence on: His years in Hollywood were artistically a very destructive influence on his films.
        be a good/​bad influence (on someone/​something): The family thought Anne was a good influence on their son.
        Thesaurus: causessynonym 
        Phrase: under the influence
▪ II. influence 2 UK  [ˈɪnfluəns] US  verb [transitive] [present tense I/you/we/they influence he/she/it influences present participle influencing past tense influenced past participle influenced] ★★★
    to affect the way that someone thinks or behaves, or to affect the way that something happens
        What factors influenced your decision to take the job?
        Research has shown that the weather can influence people’s behaviour.
        strongly/​greatly/​heavily influence someone/​something: His films were greatly influenced by Hitchcock.
        influence someone to do something: It was prolonged illness as a child that influenced her to become a doctor. 
        
        Collocations         
        Adverbs frequently used with influence 
        ▪   clearly, directly, greatly, heavily, profoundly, significantly, strongly
        Nouns frequently used as objects of influence 
        ▪   behaviour, choice, decision, development, outcome, policy
        Thesaurus: to have an effect on someone's emotions or attitudessynonym to make someone behave in a particular waysynonym",
24,"launch","英:/lɔːn(t)ʃ/ 美:/lɔntʃ/","▪ I. launch 1 UK  [lɔːntʃ] US  [lɔntʃ] verb [transitive] [present tense I/you/we/they launch he/she/it launches present participle launching past tense launched past participle launched] ★★★
    1. to send a missile, space vehicle, satellite , or other object into the air or into space
        The agency will launch a new weather satellite next month.
        Thesaurus: space vehicles and space travelhyponym general and informal words for vehicleshyponym 
      1a. to put a boat or ship into water
        Thesaurus: sailing and boatinghyponym 
    2. to start a major activity such as a military attack, a public investigation , or a new career or project
        The police confirmed that an inquiry has been launched into the incident.
        launch someone on something: the man who launched him on a career in the music business
        Thesaurus: to make something start to exist or happensynonym 
      2a. to start selling a new product or service to the public
        The company announced it will launch a new version of its software in January.
        Thesaurus: to sell somethingsynonym to advertise or publicisehyponym to buy somethingsynonym 
        Phrasal Verbs: launch into ▪ launch out
▪ II. launch 2 UK  [lɔːntʃ] US  [lɔntʃ] noun [countable] [singular launch plural launches] ★★
    1. the act of sending a missile, space vehicle, satellite , or other object into the air or into space
        the launch of the space shuttle
        Thesaurus: space vehicles and space travelhyponym general and informal words for vehicleshyponym 
    2. the start of a major activity such as a military attack, a public investigation , or a new career or project
        Thesaurus: beginnings, starts and early stagessynonym 
      2a. an occasion when a company starts selling a new product or service to the public
        The launch of their new product line will include prime-time TV commercials.
        Thesaurus: selling eventshyponym 
      2b. an event at which a company or organization officially announces that it is starting to do or to sell something
        the launch of yet another programme to promote efficiency in government
        Thesaurus: selling eventshyponym 
    3. a large open boat with an engine
        Thesaurus: types of boat or shiphyponym",
25,"manipulate","英:/mə'nɪpjʊleɪt/ 美:/mə'nɪpjulet/","manipulate UK  [məˈnɪpjʊleɪt] US  [məˈnɪpjəˌleɪt] verb [transitive] [present tense I/you/we/they manipulate he/she/it manipulates present participle manipulating past tense manipulated past participle manipulated] ★★
  1. to influence someone, or to control something, in a clever or dishonest way
      He knows how to manipulate an audience.
      She accused the party of manipulating the figures.
      Thesaurus: bribery and manipulationhyponym to do something dishonestsynonym 
  2. to skilfully handle, control, or use something
      I watched the pilot expertly manipulating the controls in front of him.
      genetically manipulated plants
      Thesaurus: to use something, or to be usedsynonym 
  3. medical to use your hands to move or press part of someone’s body as part of a medical treatment
      Thesaurus: to perform a medical test, treatment or operationhyponym 
  4. computing to change, correct, or move information stored on a computer
      Thesaurus: to use or program a computerhyponym to start or stop a computer or computer programsynonym",
26,"mortgage","英:/'mɔːgɪdʒ/ 美:/'mɔrɡɪdʒ/","▪ I. mortgage 1 UK  [ˈmɔː(r)ɡɪdʒ] US  [ˈmɔrɡɪdʒ] noun [countable] [singular mortgage plural mortgages] ★★
    a legal agreement in which you borrow money from a bank in order to buy a house. You pay back your mortgage by making monthly payments
        get/obtain/take out/arrange/a mortgage: On my present salary I can’t get a mortgage.
        mortgage on: Do you have a mortgage on your house?
        Thesaurus: relating to buying or leasing real estatehyponym general words relating to bankinghyponym 
      a. the amount of money that you borrow in a mortgage agreement
        a £70,000 mortgage
        Thesaurus: relating to buying or leasing real estatehyponym 
▪ II. mortgage 2 UK  [ˈmɔː(r)ɡɪdʒ] US  [ˈmɔrɡɪdʒ] verb [transitive] [present tense I/you/we/they mortgage he/she/it mortgages present participle mortgaging past tense mortgaged past participle mortgaged]
    to give a bank the right to own a valuable possession, especially your house, if you do not pay back money that you have borrowed from them
        Thesaurus: to buy, sell or rent property or real estatehyponym to use a bank accounthyponym",
